Customer_ID,Age,Gender,City,State,Occupation,Account_Type,Account_Balance,Monthly_Income,Credit_Score,Tenure_Years,Number_of_Products,Loan_Status,Loan_Amount,Loan_Tenure,EMI,Monthly_Expenses,Transaction_Count,Transaction_Amount,Average_Transaction_Value,Online_Banking_Usage,Mobile_Banking_Usage,ATM_Usage,Branch_Visits,Credit_Card_Usage,Debit_Card_Usage,Missed_Payments,Late_Payments,Existing_Loans,Debt_to_Income_Ratio,Customer_Satisfaction,Complaints,Support_Calls,Last_Transaction_Date,Churn_Status,Default_Status,Risk_Label,Days_Since_Transaction
CUST000011,48.0,Male,Kolkata,West Bengal,Homemaker,Savings,97475,16264.0,475.0,0,1,Active,116302,120,969,5642,12,10198,849,1,1,12,0,1,1,8,6,1,0.06,2.8,3,4,2024-12-12,0,0,High,19
CUST000012,47.0,Female,Mumbai,Maharashtra,Salaried,Current,137325,26769.0,505.0,3,1,Closed,534467,12,44538,10857,21,35399,1685,1,1,0,1,1,1,2,2,1,1.664,5.0,1,1,2024-12-22,0,0,High,9
CUST000013,38.0,Male,Mysore,Karnataka,Self-Employed,Salary,35267,42151.0,564.0,5,4,None,0,0,0,14301,16,18668,1166,1,1,14,6,1,1,11,15,0,0.0,4.6,0,1,2024-12-17,0,0,Medium,14
CUST000014,51.0,Male,Kanpur,Uttar Pradesh,Self-Employed,Salary,543502,92269.0,455.0,0,2,Closed,1031807,24,42991,44641,20,92885,4644,1,1,16,2,0,1,1,0,1,0.466,3.4,2,5,2024-12-07,0,0,Medium,24
CUST000015,43.0,Male,Mumbai,Maharashtra,Salaried,Savings,138641,41147.0,621.0,7,1,Active,883109,180,4906,21932,14,37735,2695,0,1,14,8,1,1,1,0,1,0.119,3.5,4,4,2024-11-27,0,0,Low,34
CUST000016,27.0,Female,Dwarka,Delhi,Self-Employed,Savings,119276,83578.0,620.0,0,3,None,0,0,0,53191,24,103829,4326,1,1,11,7,1,0,0,0,0,0.0,4.2,0,2,2024-12-23,0,0,Low,8
CUST000017,42.0,Female,Varanasi,Uttar Pradesh,Freelancer,Savings,180854,26833.0,470.0,12,5,None,0,0,0,8200,24,7557,314,1,0,13,8,0,1,3,3,0,0.0,4.4,1,1,2024-09-17,0,1,High,105
CUST000018,26.0,Other,Amritsar,Punjab,Self-Employed,Current,137772,45911.0,674.0,2,4,None,0,0,0,27738,14,38524,2751,1,0,9,6,1,1,2,1,0,0.0,4.0,0,3,2024-12-07,0,0,Low,24
CUST000019,48.0,Female,Salem,Tamil Nadu,Salaried,Salary,192960,38453.0,555.0,2,2,Active,413243,48,8609,17995,16,55251,3453,1,1,4,9,0,0,6,7,4,0.224,3.9,0,0,2024-12-28,0,0,High,3
CUST000020,37.0,Male,Hubli,Karnataka,Business Owner,Salary,243019,145212.0,579.0,1,1,Active,2592380,60,43206,114416,16,102888,6430,1,1,12,9,0,1,1,1,1,0.298,3.3,0,1,2024-12-19,1,0,Medium,12
CUST000021,35.0,Female,Mumbai,Maharashtra,Salaried,Savings,73739,50530.0,571.0,3,1,None,0,0,0,33383,22,58092,2640,1,1,7,7,1,1,1,1,0,0.0,4.1,0,3,2024-12-30,0,0,Medium,1
CUST000022,29.0,Male,Pune,Maharashtra,Homemaker,Salary,49366,12826.0,537.0,4,2,Npa,281757,24,11739,7764,26,17334,666,0,0,5,9,1,1,8,11,2,0.915,3.0,1,3,2024-12-21,0,1,High,10
CUST000023,52.0,Female,Asansol,West Bengal,Freelancer,Current,49254,59886.0,562.0,0,4,Npa,248411,180,1380,30410,22,73459,3339,1,1,14,7,1,1,7,9,2,0.023,3.2,2,3,2024-11-29,0,0,High,32
CUST000024,36.0,Male,Rohini,Delhi,Salaried,Salary,342385,67024.0,480.0,4,3,Npa,1101429,12,91785,37798,18,34967,1942,0,0,7,0,1,1,2,1,4,1.369,3.3,1,2,2024-12-28,0,1,High,3
CUST000025,32.0,Male,Hubli,Karnataka,Self-Employed,Salary,81255,74482.0,519.0,0,5,Closed,745217,60,12420,22461,15,22197,1479,1,1,11,6,1,1,3,3,1,0.167,4.2,2,2,2024-12-05,1,1,High,26
CUST000026,33.0,Female,Amritsar,Punjab,Professional,Savings,447707,101281.0,581.0,3,2,Active,1027973,60,17132,68446,19,115904,6100,0,1,4,6,1,1,10,7,1,0.169,3.3,0,2,2024-11-05,0,0,High,56
CUST000027,44.0,Female,Vijayawada,Andhra Pradesh,Self-Employed,Salary,148001,46191.0,592.0,0,3,Active,824254,180,4579,38025,18,28085,1560,1,1,3,5,1,1,3,1,1,0.099,2.3,1,2,2024-11-24,0,0,Medium,37
CUST000028,42.0,Female,Nagpur,Maharashtra,Self-Employed,Savings,314798,107535.0,657.0,0,2,Closed,722987,60,12049,89615,19,24929,1312,1,0,16,1,1,1,1,1,1,0.112,3.5,0,2,2024-12-25,0,0,Low,6
CUST000029,42.0,Male,Chennai,Tamil Nadu,Homemaker,Salary,120403,19207.0,499.0,4,2,Npa,211789,36,5883,10035,21,14223,677,0,1,10,1,0,1,4,2,3,0.306,3.3,0,1,2024-12-11,0,1,High,20
CUST000030,43.0,Male,Hyderabad,Telangana,Salaried,Salary,248387,61223.0,553.0,3,3,Npa,250644,240,1044,42987,13,85441,6572,1,1,8,6,1,1,3,2,2,0.017,3.4,1,1,2024-11-07,0,0,Medium,54
CUST000031,63.0,Male,Kota,Rajasthan,Self-Employed,Salary,147857,75758.0,533.0,1,1,None,0,0,0,42065,14,19190,1370,1,0,3,0,0,1,8,11,0,0.0,2.0,0,2,2024-12-10,1,1,High,21
CUST000032,33.0,Male,Gurugram,Haryana,Salaried,Savings,128301,37689.0,593.0,0,4,Closed,586520,12,48876,20701,20,27702,1385,1,1,4,7,0,1,3,3,1,1.297,3.5,0,2,2024-12-09,0,0,High,22
CUST000033,31.0,Male,Nagpur,Maharashtra,Salaried,Salary,398823,117435.0,547.0,3,3,None,0,0,0,53086,18,101862,5659,1,1,1,9,0,1,3,3,0,0.0,2.3,0,0,2024-12-26,1,1,High,5
CUST000034,28.0,Male,Guntur,Andhra Pradesh,Retired,Savings,132585,29676.0,484.0,6,2,Active,663814,24,27658,20828,20,25706,1285,1,0,9,4,1,1,2,2,1,0.932,3.9,1,3,2024-12-11,0,0,High,20
CUST000035,45.0,Female,Nagpur,Maharashtra,Business Owner,Salary,650548,121613.0,584.0,3,2,Npa,1437811,120,11981,84544,20,180713,9035,1,1,17,7,1,1,0,0,1,0.099,5.0,0,2,2024-12-11,0,0,Medium,20
CUST000036,51.0,Male,Chennai,Tamil Nadu,Business Owner,Salary,284623,101746.0,475.0,6,5,Closed,1907027,24,79459,65116,18,123862,6881,0,1,1,1,1,1,0,0,4,0.781,4.2,2,2,2024-12-31,0,0,High,0
CUST000037,36.0,Female,Asansol,West Bengal,Salaried,Savings,248878,87123.0,588.0,8,2,None,0,0,0,57476,21,93302,4442,0,0,15,0,0,1,3,1,0,0.0,4.0,2,4,2024-12-15,1,0,Medium,16
CUST000038,27.0,Female,Kolkata,West Bengal,Retired,Current,312067,48330.0,509.0,5,3,Npa,799918,24,33329,19525,8,16299,2037,1,1,15,3,1,1,1,0,2,0.69,3.2,0,0,2024-10-25,0,1,High,67
CUST000039,28.0,Female,Nashik,Maharashtra,Salaried,Current,108534,58595.0,700.0,0,2,None,0,0,0,35744,11,66321,6029,1,1,10,7,1,1,7,6,0,0.0,3.2,0,3,2024-12-14,0,0,Medium,17
CUST000040,45.0,Male,Bangalore,Karnataka,Self-Employed,Salary,195534,36163.0,500.0,10,3,Active,281868,120,2348,30182,19,50060,2634,1,1,5,2,0,0,2,2,1,0.065,5.0,2,2,2024-12-27,0,0,Medium,4
CUST000041,46.0,Male,Guntur,Andhra Pradesh,Salaried,Savings,407400,51498.0,530.0,3,2,Active,179527,36,4986,41831,18,46956,2608,0,1,15,2,1,1,1,1,1,0.097,4.0,0,2,2024-09-02,1,0,Medium,120
CUST000042,44.0,Male,Nagpur,Maharashtra,Self-Employed,Salary,403175,63332.0,611.0,1,2,Active,1201625,36,33378,31597,10,14330,1433,0,1,9,3,0,1,0,0,3,0.527,3.5,1,3,2024-09-09,0,1,High,113
CUST000043,30.0,Female,Coimbatore,Tamil Nadu,Self-Employed,Nri,135762,54256.0,580.0,1,1,None,0,0,0,22223,21,80281,3822,0,0,5,9,1,0,10,10,0,0.0,3.8,1,1,2024-12-12,1,0,High,19
CUST000044,40.0,Male,Bangalore,Karnataka,Salaried,Current,27933,37114.0,596.0,4,1,Closed,636398,180,3535,11995,27,16842,623,0,1,1,8,0,1,3,3,2,0.095,4.7,0,1,2024-12-27,0,0,High,4
CUST000045,39.0,Male,Mumbai,Maharashtra,Self-Employed,Savings,93100,34907.0,515.0,3,4,None,0,0,0,15262,12,9857,821,0,1,3,3,1,1,2,1,0,0.0,3.0,0,0,2024-12-07,0,0,Medium,24
CUST000046,40.0,Other,Warangal,Telangana,Self-Employed,Current,61360,117078.0,505.0,0,4,None,0,0,0,66688,15,79439,5295,1,1,4,4,0,1,7,7,0,0.0,2.5,5,8,2024-12-21,0,1,High,10
CUST000047,48.0,Female,Nagpur,Maharashtra,Business Owner,Savings,789588,161439.0,763.0,4,5,Active,3143103,84,37417,64329,17,181485,10675,0,1,16,8,0,1,0,0,1,0.232,3.5,0,1,2024-12-10,0,0,Low,21
CUST000048,40.0,Female,Lucknow,Uttar Pradesh,Self-Employed,Salary,259729,65901.0,579.0,0,3,Npa,793472,60,13224,32678,17,80512,4736,0,1,9,5,1,0,1,1,1,0.201,3.4,0,2,2024-12-20,0,0,Medium,11
CUST000049,46.0,Male,Jodhpur,Rajasthan,Retired,Savings,115857,23133.0,545.0,2,2,Active,333898,180,1854,14838,16,32976,2061,0,1,7,1,1,1,1,1,2,0.08,2.4,2,4,2024-12-12,0,1,High,19
CUST000050,38.0,Female,Mumbai,Maharashtra,Salaried,Savings,408728,63521.0,593.0,0,4,None,0,0,0,35982,26,60792,2338,1,1,12,4,1,1,6,3,0,0.0,2.1,7,10,2024-12-14,0,0,High,17
CUST000051,41.0,Male,Rajkot,Gujarat,Salaried,Savings,133499,59679.0,468.0,0,4,Active,1120786,12,93398,27200,17,86980,5116,0,1,13,5,1,1,5,3,2,1.565,3.9,0,1,2024-11-28,0,1,High,33
CUST000052,45.0,Male,Madurai,Tamil Nadu,Salaried,Current,154201,46846.0,515.0,0,2,None,0,0,0,21892,14,30514,2179,1,0,8,6,1,1,5,2,0,0.0,2.5,3,5,2024-12-27,0,1,High,4
CUST000053,20.0,Female,Khammam,Telangana,Salaried,Current,254449,64277.0,467.0,0,2,Active,1232366,60,20539,39910,14,34026,2430,0,0,12,0,1,1,0,0,4,0.32,4.2,0,2,2024-09-09,0,1,High,113
CUST000054,34.0,Female,Guntur,Andhra Pradesh,Self-Employed,Current,500126,79785.0,560.0,0,2,None,0,0,0,52566,16,16178,1011,0,1,10,2,0,1,7,6,0,0.0,4.7,0,3,2024-12-31,0,0,High,0
CUST000055,32.0,Male,Vijayawada,Andhra Pradesh,Salaried,Savings,283430,72405.0,462.0,1,2,None,0,0,0,52181,22,78939,3588,1,1,0,0,0,1,5,3,0,0.0,2.9,2,3,2024-12-11,0,1,High,20
CUST000056,30.0,Male,Rohini,Delhi,Salaried,Savings,80312,38554.0,566.0,4,3,Closed,738510,120,6154,29709,17,16828,989,1,1,17,8,0,1,4,2,1,0.16,3.7,0,3,2024-10-26,0,0,High,66
CUST000057,34.0,Male,Karimnagar,Telangana,Salaried,Savings,471806,65355.0,613.0,3,4,Active,509644,24,21235,44421,24,44757,1864,1,1,2,2,1,1,0,0,2,0.325,4.3,0,0,2024-12-27,0,0,Low,4
CUST000058,55.0,Female,Surat,Gujarat,Self-Employed,Current,101011,104106.0,649.0,1,4,None,0,0,0,59617,14,147873,10562,0,1,18,3,1,1,0,0,0,0.0,5.0,1,3,2024-11-22,0,0,Low,39
CUST000059,27.0,Female,Rohini,Delhi,Business Owner,Savings,715422,135103.0,598.0,0,1,None,0,0,0,55264,29,35296,1217,1,1,19,7,1,1,3,3,0,0.0,4.2,0,1,2024-12-18,1,0,High,13
CUST000060,49.0,Male,Mumbai,Maharashtra,Self-Employed,Current,438853,157223.0,613.0,17,3,Active,2859267,60,47654,130702,15,116609,7773,1,1,15,5,0,1,2,1,1,0.303,2.2,7,7,2024-12-09,0,0,Medium,22
CUST000061,18.0,Male,Pune,Maharashtra,Homemaker,Savings,77370,18607.0,480.0,2,1,None,0,0,0,10945,18,24296,1349,1,1,9,4,0,1,2,1,0,0.0,2.2,7,10,2024-12-03,1,0,Medium,28
CUST000062,33.0,Female,Mysore,Karnataka,Salaried,Salary,214447,27667.0,549.0,1,2,Active,440062,60,7334,11156,23,37915,1648,1,1,0,4,1,1,4,2,1,0.265,4.3,0,0,2024-12-06,0,0,Medium,25
CUST000063,39.0,Female,Coimbatore,Tamil Nadu,Self-Employed,Savings,229371,46285.0,531.0,7,2,None,0,0,0,30757,10,43107,4310,0,0,13,1,1,1,2,1,0,0.0,2.8,7,9,2024-11-14,1,0,Medium,47
CUST000064,45.0,Male,Patiala,Punjab,Salaried,Savings,233311,42081.0,428.0,0,4,None,0,0,0,17959,13,37757,2904,1,1,5,3,1,1,4,4,0,0.0,2.5,3,6,2024-12-16,0,0,High,15
CUST000065,46.0,Female,Gwalior,Madhya Pradesh,Professional,Savings,606242,112532.0,540.0,0,2,Active,832282,120,6935,55881,10,153355,15335,1,1,6,1,0,1,2,2,1,0.062,2.5,3,3,2024-09-17,0,1,High,105
CUST000066,47.0,Other,Hubli,Karnataka,Salaried,Savings,451850,76712.0,607.0,2,3,None,0,0,0,63930,23,57007,2478,1,1,3,4,0,1,2,2,0,0.0,1.5,4,5,2024-11-21,0,0,Low,40
CUST000067,33.0,Male,Faridabad,Haryana,Homemaker,Savings,80889,21119.0,452.0,0,3,Active,173143,60,2885,9187,14,4740,338,0,1,15,2,0,1,0,0,3,0.137,5.0,0,2,2024-10-10,1,0,Medium,82
CUST000068,32.0,Female,Udaipur,Rajasthan,Business Owner,Salary,84845,134899.0,507.0,3,2,Active,1166641,36,32406,101419,21,76724,3653,1,1,13,8,0,1,1,1,2,0.24,2.8,2,4,2024-12-24,0,1,High,7
CUST000069,48.0,Female,Lucknow,Uttar Pradesh,Self-Employed,Current,1003075,139828.0,580.0,1,3,None,0,0,0,50818,26,115700,4450,1,1,7,5,1,1,5,7,0,0.0,3.4,1,1,2024-12-15,0,0,High,16
CUST000070,35.0,Female,Faridabad,Haryana,Self-Employed,Savings,219591,59321.5,404.0,3,2,None,0,0,0,34197,21,56815,2705,1,0,14,9,0,1,0,0,0,0.0,3.6,1,2,2024-12-26,0,0,Low,5
CUST000071,22.0,Female,Kolkata,West Bengal,Salaried,Salary,392619,53419.0,570.0,3,2,Closed,751134,60,12518,27404,22,79658,3620,1,0,5,3,0,1,1,1,2,0.234,4.2,2,4,2024-12-03,0,0,Medium,28
CUST000072,24.0,Female,Vadodara,Gujarat,Salaried,Savings,276448,45895.0,562.0,1,2,Active,499746,48,10411,25917,17,39434,2319,1,1,13,9,0,1,2,1,1,0.227,3.2,0,2,2024-12-11,0,0,Medium,20
CUST000073,26.0,Male,Mangalore,Karnataka,Freelancer,Salary,173010,28137.0,573.0,1,1,None,0,0,0,21525,14,25634,1831,1,0,3,3,0,0,5,5,0,0.0,4.3,0,1,2024-11-13,0,0,High,48
CUST000074,43.0,Male,Hubli,Karnataka,Professional,Savings,215967,40038.0,551.0,3,1,Active,258598,84,3078,26445,24,8883,370,0,0,15,7,1,1,2,1,1,0.077,2.9,6,7,2024-11-28,0,0,Medium,33
CUST000075,39.0,Female,Ludhiana,Punjab,Salaried,Savings,712463,92382.0,509.0,1,2,None,0,0,0,55446,23,91584,3981,0,0,14,8,0,1,2,1,0,0.0,3.2,0,3,2024-11-25,0,1,High,36
CUST000076,46.0,Male,Mysore,Karnataka,Salaried,Salary,261612,40514.0,467.0,5,4,Active,749989,60,12499,25955,19,21304,1121,1,1,5,1,0,1,3,3,3,0.309,2.7,5,6,2024-12-15,0,1,High,16
CUST000077,32.0,Male,Nagpur,Maharashtra,Salaried,Savings,187391,49758.0,566.0,4,2,Active,564226,120,4701,39109,25,64307,2572,1,1,9,8,1,1,3,3,3,0.094,2.3,0,0,2024-12-21,0,0,High,10
CUST000078,39.0,Male,Coimbatore,Tamil Nadu,Professional,Savings,272701,106916.0,611.0,8,4,None,0,0,0,83545,14,110754,7911,1,1,2,0,1,1,4,4,0,0.0,2.5,3,4,2024-12-27,0,0,Medium,4
CUST000079,45.0,Female,Varanasi,Uttar Pradesh,Self-Employed,Salary,139896,40382.0,472.0,2,1,None,0,0,0,18095,24,29708,1237,1,1,12,4,0,1,5,5,0,0.0,2.9,2,3,2024-12-24,0,1,High,7
CUST000080,34.0,Other,Noida,Delhi,Business Owner,Current,160148,85946.0,478.0,4,2,Active,1982647,48,41305,67273,17,51256,3015,1,1,9,3,0,1,8,7,4,0.481,3.7,0,2,2024-12-31,0,1,High,0
CUST000081,43.0,Female,Patiala,Punjab,Salaried,Salary,124661,54523.0,544.0,1,2,Closed,1307953,240,5449,16358,15,54599,3639,1,1,8,7,0,1,2,2,2,0.1,1.3,3,5,2024-10-29,0,0,Medium,63
CUST000082,30.0,Female,Dwarka,Delhi,Freelancer,Current,64886,37763.0,533.0,8,2,Closed,209749,12,17479,20660,19,56581,2977,0,1,5,5,1,1,6,8,1,0.463,3.8,2,4,2024-12-11,0,0,High,20
CUST000083,33.0,Male,Kozhikode,Kerala,Salaried,Savings,30632,33015.0,581.0,1,3,None,0,0,0,23812,21,29931,1425,1,1,16,4,0,1,3,2,0,0.0,3.4,0,3,2024-11-18,0,0,High,43
CUST000084,33.0,Male,Surat,Gujarat,Salaried,Current,241777,70119.0,584.0,1,2,Active,1071775,48,22328,55545,19,21566,1135,1,1,17,8,1,1,1,1,3,0.318,5.0,2,4,2024-12-20,1,0,Medium,11
CUST000085,23.0,Female,Kanpur,Uttar Pradesh,Homemaker,Salary,102896,16610.0,503.0,0,1,Closed,153037,180,850,12606,21,16416,781,1,1,0,9,1,1,4,2,1,0.051,3.6,1,3,2024-12-04,0,0,High,27
CUST000086,43.0,Male,Hubli,Karnataka,Professional,Savings,96901,95060.0,627.0,0,1,None,0,0,0,39552,18,73896,4105,1,1,15,8,1,1,0,0,0,0.0,5.0,0,0,2024-09-30,0,0,Low,92
CUST000087,32.0,Female,Salem,Tamil Nadu,Self-Employed,Savings,353331,66497.0,520.0,0,2,Active,1385047,180,7694,41713,13,70113,5393,1,1,13,7,1,1,1,0,1,0.116,3.2,0,2,2024-12-24,0,1,High,7
CUST000088,38.0,Male,Khammam,Telangana,Retired,Current,347012,44214.0,517.0,0,3,None,0,0,0,25949,18,40633,2257,0,1,13,7,1,1,10,8,0,0.0,2.6,6,7,2024-12-28,0,0,High,3
CUST000089,43.0,Male,Guntur,Andhra Pradesh,Salaried,Salary,247498,63342.0,600.0,1,2,Closed,1476447,12,123037,50820,20,23340,1167,1,1,0,7,1,0,2,2,1,1.942,2.2,2,3,2024-12-11,0,1,High,20
CUST000090,43.0,Female,Dwarka,Delhi,Salaried,Savings,100293,38950.0,594.0,26,5,Closed,375431,120,3128,18536,11,40810,3710,0,1,0,9,0,1,3,2,1,0.08,3.1,1,1,2024-12-12,0,0,Medium,19
CUST000091,45.0,Male,Kochi,Kerala,Salaried,Current,452327,87550.0,622.0,3,1,None,0,0,0,70995,14,37505,2678,1,1,4,6,0,1,0,0,0,0.0,3.6,1,4,2024-08-16,0,1,Medium,137
CUST000092,36.0,Male,Nellore,Andhra Pradesh,Salaried,Savings,256169,45514.0,523.0,10,4,Active,482410,24,20100,31345,15,49046,3269,1,1,17,3,0,1,3,3,3,0.442,3.2,0,1,2024-12-31,0,1,High,0
CUST000093,32.0,Male,Mumbai,Maharashtra,Business Owner,Savings,233937,86656.0,556.0,3,4,Npa,1697902,48,35372,37172,13,117045,9003,1,1,13,4,0,1,10,9,1,0.408,4.2,0,1,2024-12-16,0,1,High,15
CUST000094,37.0,Male,Ahmedabad,Gujarat,Self-Employed,Current,154517,44237.0,482.0,0,3,Npa,976854,48,20351,25359,15,48976,3265,1,1,16,2,1,1,0,0,1,0.46,3.7,0,1,2024-10-18,0,0,High,74
CUST000095,18.0,Male,Visakhapatnam,Andhra Pradesh,Self-Employed,Savings,192085,25456.0,562.0,8,3,Active,505283,36,14035,16161,19,30113,1584,1,1,18,1,1,1,4,4,2,0.551,2.5,7,10,2024-12-17,0,0,High,14
CUST000096,20.0,Female,Vijayawada,Andhra Pradesh,Professional,Savings,313969,70556.0,497.0,3,1,Closed,1515248,120,12627,35854,20,65874,3293,0,1,10,8,0,1,5,6,1,0.179,2.8,0,3,2024-12-02,0,0,High,29
CUST000097,22.0,Male,Pune,Maharashtra,Salaried,Current,509295,64456.0,412.0,11,3,None,0,0,0,35704,21,74755,3559,1,1,12,8,1,0,1,0,0,0.0,3.4,1,4,2024-10-31,1,1,High,61
CUST000098,26.0,Female,Mangalore,Karnataka,Salaried,Savings,137691,31899.0,492.0,5,1,Active,670939,12,55911,9991,21,23241,1106,1,1,18,1,1,1,5,6,1,1.753,2.4,3,3,2024-12-06,0,1,High,25
CUST000099,42.0,Female,New Delhi,Delhi,Salaried,Salary,188356,108937.0,520.0,3,2,Active,2233545,60,37225,72751,22,89747,4079,1,1,14,6,0,1,3,3,1,0.342,3.0,0,2,2024-12-10,0,1,High,21
CUST000100,27.0,Male,Mangalore,Karnataka,Professional,Nri,238417,36728.0,359.0,12,1,Closed,651399,24,27141,25245,16,41986,2624,1,0,15,0,0,1,4,3,1,0.739,1.8,4,4,2024-09-29,0,1,High,93
CUST000101,33.0,Male,Nashik,Maharashtra,Self-Employed,Current,329817,47518.0,498.0,3,2,Active,1034112,84,12310,40310,21,34571,1646,0,1,18,0,1,1,0,0,1,0.259,2.9,5,8,2024-12-18,0,0,Medium,13
CUST000102,53.0,Female,Rajkot,Gujarat,Homemaker,Salary,8035,11031.0,579.0,1,1,Active,107807,48,2245,5000,19,5733,301,1,1,10,5,0,0,4,2,3,0.204,3.4,0,2,2024-12-06,0,0,High,25
CUST000103,33.0,Female,Agra,Uttar Pradesh,Retired,Salary,97527,43311.0,555.0,3,4,None,0,0,0,15750,15,40681,2712,1,0,8,9,1,1,3,1,0,0.0,3.5,0,2,2024-12-28,0,0,Medium,3
CUST000104,46.0,Female,Bangalore,Karnataka,Professional,Current,453046,116840.0,604.0,6,3,Active,949965,120,7916,63911,24,162351,6764,0,1,0,6,1,1,4,2,2,0.068,3.8,2,2,2024-11-26,0,0,Medium,35
CUST000105,26.0,Male,Ahmedabad,Gujarat,Professional,Salary,598951,80914.0,629.0,2,3,Active,1191450,48,24821,24858,18,109909,6106,0,1,17,2,0,1,0,0,2,0.307,3.5,2,4,2024-12-23,0,0,Low,8
CUST000106,35.0,Female,Nagpur,Maharashtra,Self-Employed,Savings,262531,36806.0,494.0,6,3,Closed,152592,24,6358,18171,19,18627,980,1,1,5,9,1,1,3,4,3,0.173,4.7,2,4,2024-12-30,0,0,High,1
CUST000107,26.0,Female,Rohini,Delhi,Freelancer,Salary,150527,27862.0,448.0,10,2,None,0,0,0,13656,18,7910,439,0,1,14,1,1,0,8,11,0,0.0,1.6,4,4,2024-12-28,0,1,High,3
CUST000108,33.0,Female,Visakhapatnam,Andhra Pradesh,Self-Employed,Savings,447313,71835.0,574.0,0,3,None,0,0,0,43985,16,33797,2112,1,1,10,1,1,1,4,5,0,0.0,2.1,1,3,2024-12-24,0,1,High,7
CUST000109,48.0,Male,Kozhikode,Kerala,Salaried,Savings,66499,41966.0,564.0,0,3,None,0,0,0,24717,16,37546,2346,1,1,1,9,1,1,2,2,0,0.0,1.7,6,6,2024-10-14,1,0,Medium,78
CUST000110,18.0,Female,Mangalore,Karnataka,Salaried,Current,208929,43926.0,442.0,0,3,Active,281728,36,7825,34268,17,37098,2182,0,1,3,0,0,1,4,3,2,0.178,2.6,1,1,2024-12-25,0,0,High,6
CUST000111,43.0,Male,Warangal,Telangana,Professional,Savings,556465,87383.0,551.0,1,3,Active,1844222,48,38421,59661,14,63068,4504,1,0,7,6,0,1,6,8,1,0.44,2.2,4,6,2024-10-10,1,0,High,82
CUST000112,40.0,Female,Thrissur,Kerala,Salaried,Savings,105673,46632.0,571.0,13,1,Active,1004398,60,16739,38185,17,15607,918,1,0,2,5,1,0,2,2,2,0.359,4.4,0,2,2024-12-27,0,0,Medium,4
CUST000113,30.0,Female,Ahmedabad,Gujarat,Professional,Current,64378,44698.0,545.0,8,2,Npa,660350,120,5502,23856,20,23979,1198,1,1,11,5,1,1,4,5,1,0.123,3.6,0,0,2024-10-16,1,0,High,76
